SESSION NAME:	MS0811 GABO S9E01 Music Cue Sheet Domestic
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	446
# OF AUDIO CLIPS:	34922
# OF AUDIO FILES:	7165


T R A C K  L I S T I N G
TRACK NAME:	MX a1 (Stereo)
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
2       	19      	Happy Pizz 00_MIX_Howe.wav.new.01-16	   00:12:18:21	   00:12:47:04	   00:00:28:08	Unmuted
2       	20      	GBBO_Pear Shaped v1.04_2mx_TH.wav.new.01-04	   00:13:03:02	   00:13:17:01	   00:00:13:24	Unmuted
2       	21      	GBBO_Pear Shaped_v1.04_Strings Shorts_TH.wav.new.01-07	   00:13:19:01	   00:13:24:16	   00:00:05:14	Unmuted
2       	22      	GBBO14_Baked Mushroom Starter v1.03_TIDEWAY_String Short.wav.new.01-09	   00:13:47:04	   00:13:54:07	   00:00:07:03	Unmuted
2       	23      	GBBO14_Baked Mushroom Starter v1.03_TIDEWAY_Ww Short.wav.new.01-09	   00:13:58:24	   00:14:03:18	   00:00:04:18	Unmuted
2       	24      	PRI_TASKING POSITIVE_Splendid Sorbet_Nick Brown_(APRA)_Strings.wav.new.02-04	   00:14:40:05	   00:14:57:23	   00:00:17:18	Unmuted
2       	25      	PRI_TASKING POSITIVE_Splendid Sorbet_Nick Brown_(APRA)_Strings.wav.new.03-15	   00:14:58:06	   00:15:19:10	   00:00:21:04	Unmuted
2       	26      	GBBO Flurry Bake EXTENDED v4.05_2mx_TH.wav.new.01-12	   00:15:23:00	   00:15:47:08	   00:00:24:08	Unmuted
2       	27      	GABO_POSITIVE_MARVELOUS_019_AA_noSTR.wav.new.01-12	   00:16:15:18	   00:16:46:24	   00:00:31:06	Unmuted
2       	28      	Wonder 00_MIX_Howe.wav.new.01-13	   00:17:00:01	   00:17:08:18	   00:00:08:17	Unmuted
2       	29      	Ticking Tarts 00_MIX_Howe.wav.new.01-13	   00:17:17:02	   00:17:32:21	   00:00:15:19	Unmuted
2       	30      	Something Pizz 00_MIX_Howe.wav.new.01-06	   00:17:36:02	   00:18:34:12	   00:00:58:10	Unmuted
2       	31      	Piano Sparkle 00_MIX_Howe.wav.new.01-16	   00:18:48:01	   00:18:59:00	   00:00:10:24	Unmuted
2       	32      	Pastry Countdown 08_Howe_Short Strings Lo.wav.new.01-04	   00:19:04:11	   00:19:14:22	   00:00:10:11	Unmuted
2       	33      	GBBO 12_Comedy Batter v1.01 TIDEWAY_2mx.wav.new.01-06	   00:19:28:04	   00:19:43:14	   00:00:15:10	Unmuted
2       	34      	GABO_POSITIVE_BRIGHT_009_AA_07 noSTR.wav.new.01-04	   00:20:40:13	   00:20:58:24	   00:00:18:11	Unmuted
2       	35      	Piano Sparkle 00_MIX_Howe.wav.new.01-09	   00:21:10:11	   00:21:21:16	   00:00:11:05	Unmuted
2       	36      	Light Touch 00_Howe_2mx.wav.new.01-10	   00:21:34:13	   00:21:48:05	   00:00:13:17	Unmuted
2       	37      	Countryside Air 00_MIX_Howe.wav.new.01-05	   00:22:51:17	   00:23:05:22	   00:00:14:05	Unmuted
2       	38      	GABO_PPM_HAPPY_Happy Halloumi_Jacquie Joy (APRA)_ONLY Pads.wav.new.02-05	   00:23:19:24	   00:23:22:07	   00:00:02:08	Unmuted
2       	39      	GBBO_Caramelised Pizz v1.03 ALT_2mx_TH.wav.new.01-05	   00:23:39:16	   00:23:56:14	   00:00:16:23	Unmuted
2       	40      	GBBO_Lightly Does It v1.01_2mx_TH.wav.new.01-10	   00:24:19:10	   00:24:49:17	   00:00:30:06	Unmuted
2       	41      	Light Whisk_05_Strings_Howe.wav.new.01-05	   00:25:04:07	   00:25:12:01	   00:00:07:19	Unmuted
2       	42      	Light Whisk_06_Long WW's_Howe.wav.new.01-08	   00:25:17:23	   00:25:28:19	   00:00:10:20	Unmuted
2       	43      	Light Whisk_01_Piano_Howe.wav.new.01-08	   00:25:29:21	   00:25:33:06	   00:00:03:10	Unmuted
2       	44      	GBBO Gentle Tension_2mx_Howe.wav.new.01-04	   00:26:05:05	   00:26:27:19	   00:00:22:14	Unmuted
2       	45      	GBBO 11_Stiff Peaks v1.11_StringsLong_TH.wav.new.01-05	   00:26:51:16	   00:27:11:20	   00:00:20:04	Unmuted
2       	46      	Sugar Jam 07_Howe_Sht Strings Hi.wav.new.01-05	   00:27:18:08	   00:27:21:17	   00:00:03:09	Unmuted
2       	47      	GBBO 12_Icing Madness v1.01 TIDEWAY_2mx.wav.new.01-11	   00:27:50:23	   00:28:11:14	   00:00:20:15	Unmuted
2       	48      	PRI_LIGHT REFLECTIVE TICKING_Pastry Golden Hour_Joel Agius (APRA)_FULL MIX.wav.new.02-05	   00:28:40:18	   00:28:54:20	   00:00:14:02	Unmuted
2       	49      	GBBO14_The Dough Is Rising v1.05_TIDEWAY_2mx.wav.new.01-04	   00:30:11:19	   00:30:21:03	   00:00:09:09	Unmuted
2       	50      	No Time 03_WWs_Howe.wav.new.01-05	   00:30:49:24	   00:31:14:01	   00:00:24:02	Unmuted
2       	51      	GBBO_Caramelised Pizz V2.00_2mx_TH.wav.new.03-16	   00:31:52:03	   00:32:01:23	   00:00:09:20	Unmuted
2       	52      	GABO_QUIRKY_STICKYBEAKS_604_CT_01 FULL.wav.new.01-11	   00:32:20:19	   00:32:28:05	   00:00:07:11	Unmuted
2       	53      	GABO_QUIRKY_STICKYBEAKS_604_CT_01 FULL.wav.new.02-22	   00:32:36:10	   00:33:01:11	   00:00:25:00	Unmuted
2       	54      	Dragon Strings 02_STRINGS_Howe.wav.new.01-04	   00:33:09:18	   00:33:32:24	   00:00:23:06	Unmuted
2       	55      	Wonder 00_MIX_Howe.wav.new.01-08	   00:34:11:09	   00:34:34:23	   00:00:23:14	Unmuted
2       	56      	GBBO 12_Butter Cream Frosting v1.02 TIDEWAY_2mx.wav.new.01-16	   00:34:45:20	   00:35:00:05	   00:00:14:10	Unmuted
2       	57      	Ticking Tarts 00_MIX_Howe.wav.new.01-11	   00:35:06:06	   00:35:21:20	   00:00:15:14	Unmuted
2       	58      	GBBO13_Light Major Tension v1.02 TIDEWAY 2mx.wav.new.01-05	   00:35:55:18	   00:36:07:00	   00:00:11:07	Unmuted
2       	59      	GBBO 12_Petit Fours v1.05 TIDEWAY_2mx.wav.new.01-21	   00:36:14:21	   00:36:28:03	   00:00:13:07	Unmuted
2       	60      	Organic Orchestral 00_MIX_Howe.wav.new.01-04	   00:37:28:10	   00:37:40:06	   00:00:11:21	Unmuted
2       	61      	GBBO_Caramelised Pizz v2.00_Mallets_TH.wav.new.01-10	   00:37:58:10	   00:38:12:14	   00:00:14:04	Unmuted
2       	62      	Energy of Baking 00_MIX_Howe.wav.new.01-35	   00:38:32:12	   00:39:33:01	   00:01:00:14	Unmuted
2       	63      	More Dragons 00_MIX_Howe.wav.new.01-05	   00:40:20:07	   00:40:51:10	   00:00:31:03	Unmuted
2       	64      	GBBO 11_Bun In The Oven v1.03_2mx_TH.wav.new.01-04	   00:41:08:17	   00:41:26:20	   00:00:18:03	Unmuted
2       	65      	GBBO 11_Bun In The Oven v1.03_2mx_TH.wav.new.02-04	   00:41:32:06	   00:41:49:02	   00:00:16:21	Unmuted
2       	66      	GABO4_QUIRKY_RUSH HOUR_603_CT_FULL.wav.new.01-16	   00:42:19:19	   00:42:41:24	   00:00:22:04	Unmuted
2       	67      	GBBO14_Baked Mushroom Starter v1.03_TIDEWAY 2mx_JUST STRINGS MIX.wav.new.01-07	   00:43:40:03	   00:44:25:04	   00:00:45:01	Unmuted
2       	68      	GBBO_Over Baked v1.01_2mx_TH.wav.new.01-05	   00:44:41:10	   00:45:09:20	   00:00:28:09	Unmuted
2       	69      	GBBO_Cinnamon Twist v1.02_2mx_TH.wav.new.01-17	   00:45:24:24	   00:45:57:14	   00:00:32:15	Unmuted
2       	70      	Dragon Strings 00_MIX_Howe.wav.new.01-05	   00:46:24:15	   00:46:52:09	   00:00:27:19	Unmuted
2       	71      	GBBO 11_Melting Meringues v1.02_2mx_TH.wav.new.01-09	   00:48:04:05	   00:48:42:00	   00:00:37:20	Unmuted
2       	72      	GBBO 12_Petit Fours v1.05 TIDEWAY_Perc Mallets.wav.new.01-13	   00:50:00:14	   00:50:05:09	   00:00:04:19	Unmuted
2       	73      	Egg Timer Bake 00_MIX_Howe.wav.new.01-11	   00:50:12:07	   00:51:15:12	   00:01:03:05	Unmuted
2       	74      	GBBO 11_GBBO_Soggy Bottoms Up v2.01_2mx_TH.wav.new.01-14	   00:51:24:12	   00:52:07:15	   00:00:43:03	Unmuted
2       	75      	GABO_QUIRKY_STICKYBEAKS_604_CT_10 noPNOnSTGnMARIMBAnGTR.wav.new.01-04	   00:52:28:24	   00:52:53:24	   00:00:25:00	Unmuted
2       	76      	GBBO 12_Sticky Parchment Paper v1.03 TIDEWAY_2mx.wav.new.01-10	   00:53:14:10	   00:53:35:08	   00:00:20:23	Unmuted
2       	77      	GABO_ACTION_CHEFS_604_V2_CT_01 FULL.wav.new.01-04	   00:54:13:04	   00:54:25:17	   00:00:12:13	Unmuted
2       	78      	GABO_ACTION_CHEFS_604_V2_CT_01 FULL.wav.new.02-13	   00:54:38:19	   00:55:05:19	   00:00:26:24	Unmuted
2       	79      	GBBO 12_Neutral Croissant v1.01 TIDEWAY_2mx.wav.new.01-15	   00:56:24:22	   00:57:08:17	   00:00:43:20	Unmuted
2       	80      	GABO_TENSION_Bake the Tension_107_DH_01 FULL.wav.new.01-05	   00:57:38:16	   00:57:59:14	   00:00:20:23	Unmuted
2       	81      	GABO_TENSE_BURNT_609_CT_01 FULL.wav.new.01-05	   00:59:50:16	   01:00:09:24	   00:00:19:08	Unmuted
2       	82      	GABO_POSITIVE_CANDLE_014_AA_07 noSTR.wav.new.01-05	   01:00:51:07	   01:01:29:00	   00:00:37:18	Unmuted
2       	83      	GBBO 11_The Happy Blender v1.04_2mx_TH.wav.new.01-11	   01:02:17:24	   01:03:21:22	   00:01:03:23	Unmuted
2       	84      	Win Some Lose Some 00_MIX_Howe.wav.new.01-05	   01:03:53:19	   01:04:03:18	   00:00:09:24	Unmuted
